Freq.	V(vo)
1.21167266043028e+01	(-3.03735093385068e+00dB,-3.36604206749771e+01°)
1.21251281906177e+01	(-3.04018233514078e+00dB,-3.36714116847303e+01°)
1.21335356024873e+01	(-3.04301530169947e+00dB,-3.36823965152453e+01°)
1.21419488439508e+01	(-3.04584983270769e+00dB,-3.36933751552593e+01°)
1.21503679190505e+01	(-3.04868592734377e+00dB,-3.37043475935139e+01°)
1.21587928318313e+01	(-3.05152358478361e+00dB,-3.37153138187543e+01°)
1.21672235863411e+01	(-3.05436280420047e+00dB,-3.37262738197301e+01°)
1.21756601866302e+01	(-3.05720358476508e+00dB,-3.37372275851954e+01°)
1.21841026367523e+01	(-3.06004592564552e+00dB,-3.37481751039086e+01°)
1.21925509407634e+01	(-3.06288982600744e+00dB,-3.37591163646322e+01°)
1.22010051027226e+01	(-3.06573528501381e+00dB,-3.37700513561334e+01°)
1.22094651266917e+01	(-3.06858230182511e+00dB,-3.37809800671834e+01°)
1.22179310167354e+01	(-3.07143087559923e+00dB,-3.37919024865582e+01°)
1.22264027769211e+01	(-3.07428100549152e+00dB,-3.38028186030378e+01°)
1.22348804113190e+01	(-3.07713269065470e+00dB,-3.38137284054074e+01°)
1.22433639240024e+01	(-3.07998593023911e+00dB,-3.38246318824557e+01°)
1.22518533190472e+01	(-3.08284072339231e+00dB,-3.38355290229769e+01°)
1.22603486005320e+01	(-3.08569706925942e+00dB,-3.38464198157692e+01°)
1.22688497725384e+01	(-3.08855496698300e+00dB,-3.38573042496355e+01°)
1.22773568391510e+01	(-3.09141441570303e+00dB,-3.38681823133834e+01°)
1.22858698044569e+01	(-3.09427541455696e+00dB,-3.38790539958251e+01°)
1.22943886725462e+01	(-3.09713796267970e+00dB,-3.38899192857773e+01°)
1.23029134475118e+01	(-3.10000205920347e+00dB,-3.39007781720620e+01°)
1.23114441334496e+01	(-3.10286770325814e+00dB,-3.39116306435050e+01°)
1.23199807344580e+01	(-3.10573489397086e+00dB,-3.39224766889378e+01°)
1.23285232546385e+01	(-3.10860363046637e+00dB,-3.39333162971959e+01°)
1.23370716980954e+01	(-3.11147391186678e+00dB,-3.39441494571198e+01°)
1.23456260689358e+01	(-3.11434573729160e+00dB,-3.39549761575554e+01°)
1.23541863712697e+01	(-3.11721910585782e+00dB,-3.39657963873532e+01°)
1.23627526092099e+01	(-3.12009401667998e+00dB,-3.39766101353680e+01°)
1.23713247868721e+01	(-3.12297046886999e+00dB,-3.39874173904601e+01°)
1.23799029083749e+01	(-3.12584846153716e+00dB,-3.39982181414949e+01°)
1.23884869778395e+01	(-3.12872799378838e+00dB,-3.40090123773423e+01°)
1.23970769993903e+01	(-3.13160906472787e+00dB,-3.40198000868774e+01°)
1.24056729771543e+01	(-3.13449167345741e+00dB,-3.40305812589804e+01°)
1.24142749152615e+01	(-3.13737581907612e+00dB,-3.40413558825368e+01°)
1.24228828178448e+01	(-3.14026150068067e+00dB,-3.40521239464367e+01°)
1.24314966890398e+01	(-3.14314871736521e+00dB,-3.40628854395753e+01°)
1.24401165329851e+01	(-3.14603746822123e+00dB,-3.40736403508537e+01°)
1.24487423538221e+01	(-3.14892775233776e+00dB,-3.40843886691774e+01°)
1.24573741556952e+01	(-3.15181956880129e+00dB,-3.40951303834574e+01°)
1.24660119427514e+01	(-3.15471291669571e+00dB,-3.41058654826100e+01°)
1.24746557191409e+01	(-3.15760779510248e+00dB,-3.41165939555565e+01°)
1.24833054890166e+01	(-3.16050420310044e+00dB,-3.41273157912238e+01°)
1.24919612565342e+01	(-3.16340213976586e+00dB,-3.41380309785440e+01°)
1.25006230258525e+01	(-3.16630160417260e+00dB,-3.41487395064543e+01°)
1.25092908011331e+01	(-3.16920259539182e+00dB,-3.41594413638978e+01°)
1.25179645865404e+01	(-3.17210511249230e+00dB,-3.41701365398225e+01°)
1.25266443862417e+01	(-3.17500915454018e+00dB,-3.41808250231821e+01°)
1.25353302044073e+01	(-3.17791472059910e+00dB,-3.41915068029358e+01°)
1.25440220452104e+01	(-3.18082180973023e+00dB,-3.42021818680479e+01°)
1.25527199128269e+01	(-3.18373042099210e+00dB,-3.42128502074886e+01°)
1.25614238114357e+01	(-3.18664055344079e+00dB,-3.42235118102335e+01°)
1.25701337452187e+01	(-3.18955220612982e+00dB,-3.42341666652638e+01°)
1.25788497183606e+01	(-3.19246537811016e+00dB,-3.42448147615662e+01°)
